player_id,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,total_offside,touches,total_pass,total_through_ball,total_cross,corner_taken
20341,10,4,0,0,0,0,0,1045,760,1,1,0
162532,10,3,0,2,0,0,0,1319,1161,3,5,0
161548,10,2,0,0,0,0,2,1351,812,5,63,1
13981,9,2,1,0,0,0,1,492,303,2,52,5
180005,9,4,0,0,0,0,0,276,180,2,5,1
161549,9,3,0,0,0,0,0,982,725,0,29,0
175656,9,4,1,0,0,0,1,452,297,3,42,27
130672,9,1,0,0,0,0,2,1041,585,1,58,8
161558,9,2,0,0,0,0,0,816,571,0,25,16
134381,9,2,0,0,0,0,2,313,190,0,8,0
160096,9,4,0,0,0,0,0,839,601,3,11,6
160118,9,3,0,0,0,0,2,323,191,0,20,12
6577,9,3,0,0,0,0,6,1064,836,2,72,57
133647,9,3,1,0,0,0,1,1522,857,1,122,51
135654,9,2,1,0,0,0,8,984,588,5,55,3
14011,9,4,0,0,0,0,3,1357,994,1,31,4
51519,9,3,0,1,0,0,1,901,671,1,1,0
132044,9,4,0,1,0,0,0,799,599,0,1,0
46933,9,3,0,0,0,0,1,400,305,2,2,0
51275,8,2,0,0,0,0,0,792,418,2,23,0
42971,8,1,1,0,0,0,0,203,111,2,12,3
50016,8,0,0,0,0,0,0,446,293,0,18,12
30669,8,1,0,0,0,0,0,896,670,5,8,2
160488,8,1,0,1,0,0,1,835,647,0,2,0
30985,8,2,0,0,0,0,0,166,93,0,25,8
56726,8,2,0,0,0,0,0,877,658,0,0,0
129760,8,5,0,0,0,0,1,500,400,4,3,2
160422,8,2,0,0,0,0,0,887,617,0,6,0
31757,8,2,0,1,0,0,2,970,737,0,0,0
130623,8,0,2,0,0,0,0,702,563,1,5,0
51340,8,4,0,0,0,0,2,1369,843,1,28,0
128282,8,1,0,0,0,0,0,1373,1022,0,81,0
160323,8,4,0,0,0,0,2,1543,1195,0,6,0
135240,8,3,0,0,0,0,4,1515,974,1,42,0
34877,8,3,0,0,0,0,0,779,656,0,2,0
160313,8,2,0,0,0,0,0,953,555,0,30,0
30557,8,4,0,0,0,0,0,540,288,0,43,5
