playerId,info_shirtNum,info_positionInfo,info_loan,nationalTeam_isoCode,currentTeam_club_id,birth_date_label,birth_country_isoCode,name_display
7018,8,Centre Central Midfielder,FALSE,DE,11,10/24/1990,DE,Ilkay Gündogan
35017,13,Centre Central Midfielder,FALSE,IE,43,1/31/1992,IE,Jeff Hendrick
135976,16,Left/Right Winger,FALSE,IR,131,8/11/1993,IR,Alireza Jahanbakhsh
48260,5,Centre Central Defender,FALSE,GB-ENG,7,1/11/1993,GB-ENG,Michael Keane
6773,11,Centre/Right Attacking Midfielder,FALSE,AR,21,3/4/1992,AR,Erik Lamela
141189,,Defender,FALSE,FR,23,5/20/1991,FR,Florian Lejeune
161463,7,Centre Striker,FALSE,IE,20,1/22/1987,IE,Shane Long
137781,,Midfielder,FALSE,GB-ENG,23,3/21/2000,GB-ENG,Matthew Longstaff
162019,23,Centre Central Defender,FALSE,BR,1,4/22/1987,BR,David Luiz
128766,31,Forward,FALSE,GB-ENG,43,11/22/1999,GB-ENG,Dwight McNeil
19506,7,Left/Centre/Right Central Midfielder,FALSE,GB-ENG,10,1/4/1986,GB-ENG,James Milner
135243,13,Centre Central Defender,FALSE,CO,7,9/23/1994,CO,Yerry Mina
160323,40,Centre Central Defender,FALSE,GB-ENG,2,3/13/1993,GB-ENG,Tyrone Mings
179384,18,Centre Central Midfielder,FALSE,AU,131,9/15/1990,AU,Aaron Mooy
42220,25,Centre Central Midfielder,FALSE,NG,26,12/16/1996,NG,Wilfred Ndidi
