index,playerId,outfielderBlock,interception,totalTackle,lastManTackle,totalClearance,headClearance,aerialWon,own_Goals,errorLeadToGoal,penaltyConceded,fouls,aerialLost
251,160846.0,2.0,8.0,8.0,0.0,4.0,1.0,7.0,0.0,0.0,0.0,15.0,17.0
252,161548.0,2.0,38.0,78.0,2.0,27.0,13.0,29.0,0.0,0.0,0.0,23.0,29.0
253,130554.0,2.0,8.0,20.0,0.0,14.0,5.0,5.0,0.0,0.0,0.0,6.0,7.0
254,133675.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
255,31712.0,2.0,12.0,21.0,0.0,4.0,3.0,19.0,0.0,0.0,0.0,27.0,31.0
256,51699.0,2.0,5.0,15.0,0.0,11.0,7.0,13.0,0.0,0.0,0.0,20.0,48.0
257,129759.0,2.0,29.0,51.0,0.0,15.0,5.0,38.0,0.0,0.0,0.0,28.0,24.0
258,180034.0,2.0,4.0,13.0,0.0,10.0,5.0,4.0,0.0,0.0,0.0,2.0,8.0
259,21858.0,2.0,4.0,21.0,0.0,7.0,2.0,7.0,0.0,0.0,0.0,9.0,14.0
260,14290.0,2.0,4.0,11.0,0.0,14.0,10.0,49.0,0.0,0.0,0.0,47.0,122.0
261,161402.0,2.0,8.0,21.0,0.0,9.0,4.0,2.0,0.0,0.0,1.0,7.0,18.0
262,52277.0,2.0,3.0,7.0,0.0,15.0,13.0,102.0,1.0,0.0,0.0,25.0,151.0
263,161453.0,2.0,4.0,8.0,0.0,25.0,14.0,14.0,0.0,0.0,0.0,3.0,7.0
264,179348.0,2.0,11.0,14.0,0.0,22.0,12.0,14.0,0.0,0.0,0.0,14.0,7.0
265,13935.0,2.0,16.0,41.0,0.0,2.0,2.0,8.0,0.0,0.0,0.0,42.0,18.0
266,161456.0,1.0,2.0,2.0,0.0,7.0,3.0,27.0,0.0,0.0,0.0,14.0,50.0
267,6009.0,1.0,3.0,7.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,9.0,12.0
268,154335.0,1.0,29.0,44.0,0.0,14.0,7.0,10.0,0.0,0.0,0.0,25.0,23.0
269,163811.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,1.0
