index,playerId,goals,goalAssist,appearances,minutePlayed,yellowCard,redCard,totalSubOn,totalSubOff
276,44026.0,0.0,2.0,20.0,1307.0,3.0,0.0,5.0,4.0
277,26151.0,0.0,2.0,22.0,1297.0,1.0,0.0,9.0,7.0
278,19415.0,0.0,2.0,16.0,1244.0,3.0,1.0,2.0,0.0
279,7431.0,0.0,2.0,18.0,743.0,1.0,0.0,10.0,6.0
280,128282.0,0.0,2.0,17.0,1355.0,3.0,0.0,1.0,4.0
281,133647.0,0.0,2.0,21.0,1794.0,6.0,0.0,0.0,4.0
282,160312.0,0.0,2.0,14.0,1231.0,2.0,0.0,0.0,3.0
283,133868.0,0.0,1.0,30.0,2700.0,7.0,0.0,0.0,0.0
284,51275.0,0.0,1.0,15.0,1350.0,4.0,0.0,0.0,0.0
285,15123.0,0.0,1.0,32.0,2800.0,4.0,0.0,0.0,8.0
286,161350.0,0.0,1.0,23.0,2070.0,1.0,0.0,0.0,0.0
287,50016.0,0.0,1.0,17.0,798.0,1.0,0.0,8.0,7.0
288,51513.0,0.0,1.0,11.0,815.0,0.0,0.0,2.0,1.0
289,162156.0,0.0,1.0,6.0,276.0,0.0,1.0,3.0,1.0
290,135671.0,0.0,1.0,5.0,199.0,0.0,0.0,3.0,2.0
291,131780.0,0.0,1.0,24.0,1748.0,6.0,0.0,5.0,4.0
292,90860.0,0.0,1.0,30.0,2626.0,5.0,0.0,1.0,1.0
293,32203.0,0.0,1.0,8.0,608.0,1.0,0.0,1.0,2.0
294,159737.0,0.0,1.0,7.0,470.0,1.0,0.0,2.0,0.0
295,21247.0,0.0,1.0,19.0,1550.0,0.0,0.0,2.0,3.0
296,43047.0,0.0,1.0,10.0,777.0,1.0,0.0,1.0,1.0
297,22919.0,0.0,1.0,17.0,1530.0,2.0,0.0,0.0,0.0
298,6723.0,0.0,1.0,26.0,2156.0,6.0,2.0,2.0,3.0
299,50136.0,0.0,1.0,16.0,1215.0,4.0,0.0,2.0,3.0
300,32140.0,0.0,1.0,16.0,963.0,2.0,0.0,7.0,6.0
301,31289.0,0.0,1.0,15.0,910.0,3.0,1.0,5.0,2.0
302,51329.0,0.0,1.0,15.0,1153.0,1.0,0.0,2.0,3.0
303,135240.0,0.0,1.0,25.0,1819.0,5.0,0.0,3.0,9.0
304,34877.0,0.0,1.0,12.0,935.0,1.0,0.0,2.0,1.0
305,159677.0,0.0,1.0,9.0,316.0,0.0,0.0,5.0,4.0
306,144514.0,0.0,1.0,31.0,2790.0,0.0,0.0,0.0,0.0
307,133131.0,0.0,1.0,23.0,2005.0,0.0,1.0,0.0,1.0
308,160652.0,0.0,1.0,4.0,231.0,0.0,0.0,1.0,3.0
309,10050.0,0.0,1.0,21.0,1830.0,7.0,0.0,0.0,3.0
310,144510.0,0.0,1.0,27.0,1335.0,1.0,0.0,14.0,4.0
311,10205.0,0.0,1.0,27.0,2126.0,7.0,0.0,3.0,4.0
312,46991.0,0.0,1.0,15.0,1296.0,2.0,0.0,0.0,1.0
313,161549.0,0.0,0.0,13.0,890.0,3.0,0.0,4.0,0.0
314,160103.0,0.0,0.0,11.0,362.0,2.0,0.0,8.0,2.0
315,94133.0,0.0,0.0,11.0,760.0,1.0,0.0,1.0,7.0
316,180000.0,0.0,0.0,22.0,1069.0,5.0,0.0,13.0,2.0
317,90987.0,0.0,0.0,25.0,1689.0,8.0,0.0,5.0,9.0
318,31993.0,0.0,0.0,32.0,2880.0,3.0,0.0,0.0,0.0
319,6011.0,0.0,0.0,32.0,2880.0,2.0,0.0,0.0,0.0
320,131750.0,0.0,0.0,32.0,2880.0,0.0,0.0,0.0,0.0
321,129737.0,0.0,0.0,32.0,2880.0,0.0,0.0,0.0,0.0
322,130759.0,0.0,0.0,32.0,2880.0,1.0,0.0,0.0,0.0
323,46085.0,0.0,0.0,32.0,2880.0,2.0,0.0,0.0,0.0
324,30984.0,0.0,0.0,32.0,2880.0,0.0,0.0,0.0,0.0
325,46676.0,0.0,0.0,32.0,2880.0,0.0,0.0,0.0,0.0
326,11230.0,0.0,0.0,32.0,2880.0,2.0,0.0,0.0,0.0
327,49709.0,0.0,0.0,30.0,2616.0,1.0,0.0,0.0,6.0
