index,playerId,shirtNum,positionInfo,loan,nationalTeamID,currentTeamId,birth,birthCountryId,playerName
200,44159,,Centre Central Defender,False,SE,12,7/17/1994,SE,Victor Lindelöf
201,135591,36.0,Centre Central Midfielder,False,GB-ENG,23,10/30/1997,GB-ENG,Sean Longstaff
202,161345,5.0,Centre Central Defender,False,GB-ENG,12,3/5/1993,GB-ENG,Harry Maguire
203,130672,11.0,Left Full Back,False,IT,33,1/2/1994,MA,Adam Masina
204,43049,,Centre Central Defender,False,CM,10,8/8/1991,DE,Joel Matip
205,143584,23.0,Centre Central Midfielder,False,GB-SCT,14,1/8/1992,GB-SCT,Kenny McLean
206,10292,6.0,Left/Centre Central Defender,False,GB-ENG,43,9/21/1989,GB-ENG,Ben Mee
207,153012,33.0,Centre Central Defender,False,GB-WLS,127,11/5/1997,GB-ENG,Chris Mepham
208,43997,17.0,Centre Striker,False,GB-ENG,131,9/25/1983,GB-ENG,Glenn Murray
209,144579,16.0,Centre Central Midfielder,False,GB-NIR,18,4/12/1991,GB-NIR,Oliver Norwood
210,6577,10.0,Centre/Right Attacking Midfielder,False,DE,1,10/15/1988,DE,Mesut Özil
211,132927,8.0,Left/Centre/Right Attacking Midfielder,False,BR,25,4/15/1993,BR,Felipe Anderson
212,162021,26.0,Centre Attacking Midfielder,False,BE,26,5/14/1994,BE,Dennis Praet
213,51703,24.0,Centre Central Midfielder,False,NL,131,9/2/1991,NL,Davy Pröpper
214,30598,11.0,Left/Right Winger,False,GB-SCT,23,9/10/1989,GB-ENG,Matt Ritchie
215,50135,26.0,Left Full Back,False,GB-SCT,10,3/11/1994,GB-SCT,Andrew Robertson
216,180046,47.0,Centre Second Striker,True,IE,18,2/2/1995,IE,Callum Robinson
217,18957,11.0,Left/Right Winger,False,ES,4,7/28/1987,ES,Pedro
218,179281,20.0,Centre Striker,False,TZ,2,12/23/1992,TZ,Mbwana Samatta
219,133641,28.0,Centre Central Midfielder,False,PT,38,9/8/1986,PT,João Moutinho
